,Unnamed: 0,timestamp_posix,temporaryId,latitude,longitude,speed,heading,length,width,position_on_map,x,y,speed_x,speed_y,accel_x,accel_y,ang_speed,radius,steering_angle,steering_angle_rate,sub_group
1899,1899,1623249768.907307,1768009833,33.8601912,-112.1119194,0.0,204.0,4.97,184,inbound,397146.2663863718,3747210.5403764015,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1900,1900,1623249769.007162,1768009833,33.8601912,-112.1119194,0.0,204.0,4.97,184,inbound,397146.2663863718,3747210.5403764015,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1901,1901,1623249769.107242,1768009833,33.8601912,-112.1119194,0.0,204.0,4.97,184,inbound,397146.2663863718,3747210.5403764015,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1902,1902,1623249769.207993,1768009833,33.8601912,-112.1119194,0.0,204.0,4.97,184,inbound,397146.2663863718,3747210.5403764015,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1903,1903,1623249769.308102,1768009833,33.8601912,-112.1119195,0.0,204.0,4.97,184,inbound,397146.2571358212,3747210.540476439,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1904,1904,1623249769.408429,1768009833,33.8601912,-112.1119195,0.0,204.0,4.97,184,inbound,397146.2571358212,3747210.540476439,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1905,1905,1623249769.507211,1768009833,33.8601912,-112.1119196,0.0,204.0,4.97,184,inbound,397146.2478852705,3747210.540576476,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1906,1906,1623249769.712672,1768009833,33.8601913,-112.1119197,0.0,204.0,4.97,184,inbound,397146.2387546309,3747210.551764859,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1907,1907,1623249769.80707,1768009833,33.8601913,-112.1119197,0.0,204.0,4.97,184,inbound,397146.2387546309,3747210.551764859,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1908,1908,1623249769.906994,1768009833,33.8601913,-112.1119198,0.0,204.0,4.97,184,inbound,397146.2295040802,3747210.551864896,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1909,1909,1623249770.006531,1768009833,33.8601912,-112.1119198,0.0,204.0,4.97,184,inbound,397146.2293841692,3747210.54077655,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1910,1910,1623249770.108845,1768009833,33.8601913,-112.1119199,0.0,204.0,4.97,184,inbound,397146.2202535296,3747210.5519649326,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1911,1911,1623249770.207808,1768009833,33.8601912,-112.1119199,0.0,204.0,4.97,184,inbound,397146.22013361857,3747210.5408765865,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1912,1912,1623249770.308852,1768009833,33.8601912,-112.1119199,0.0,204.0,4.97,184,inbound,397146.22013361857,3747210.5408765865,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1913,1913,1623249770.509637,1768009833,33.8601913,-112.1119201,0.0,204.0,4.97,184,inbound,397146.20175242826,3747210.5521650063,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
1914,1914,1623249770.607432,1768009833,33.8601913,-112.1119201,0.0,204.0,4.97,184,inbound,397146.20175242826,3747210.5521650063,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inbound4
